Interference and Diffraction Data File Wed, Mar 02, 2022 4:07 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	-0.02005
0.00000	-0.02375
0.00000	-0.02102
0.00000	-0.02408
0.00000	-0.01779
0.00000	-0.01795
0.00000	-0.02601
0.00000	-0.02230
0.00000	-0.02408
0.00006	-0.02166
0.00006	-0.02714
0.00006	-0.02279
0.00006	-0.02311
0.00006	-0.02150
0.00006	-0.02681
0.00006	-0.02359
0.00006	-0.02150
0.00006	-0.01973
0.00006	-0.02182
0.00006	-0.02182
0.00011	-0.02198
0.00011	-0.01908
0.00011	-0.02198
0.00011	-0.02037
0.00011	-0.02343
0.00011	-0.02730
0.00011	-0.01940
0.00011	-0.02375
0.00011	-0.02553
0.00011	-0.02069
0.00017	-0.02198
0.00017	-0.02021
0.00017	-0.01618
0.00017	-0.02214
0.00017	-0.02311
0.00017	-0.01795
0.00017	-0.02408
0.00017	-0.02343
0.00017	-0.01957
0.00017	-0.02681
0.00017	-0.02166
0.00022	-0.02311
0.00022	-0.02295
0.00022	-0.01908
0.00022	-0.02134
0.00022	-0.02069
0.00022	-0.01940
0.00022	-0.02166
0.00022	-0.02053
0.00022	-0.02085
0.00022	-0.02279
0.00028	-0.02198
0.00028	-0.01989
0.00028	-0.01989
0.00028	-0.02408
0.00028	-0.01989
0.00028	-0.01812
0.00028	-0.01924
0.00028	-0.02746
0.00028	-0.01908
0.00033	-0.02134
0.00033	-0.02247
0.00033	-0.02359
0.00033	-0.01908
0.00033	-0.02520
0.00033	-0.02069
0.00033	-0.02150
0.00033	-0.02955
0.00033	-0.02102
0.00033	-0.02118
0.00033	-0.02343
0.00039	-0.01828
0.00039	-0.02069
0.00039	-0.02311
0.00039	-0.02069
0.00039	-0.02037
0.00039	-0.02714
0.00039	-0.01779
0.00039	-0.02488
0.00039	-0.01844
0.00044	-0.02649
0.00044	-0.02359
0.00044	-0.02456
0.00044	-0.01795
0.00044	-0.02230
0.00044	-0.02118
0.00044	-0.02037
0.00044	-0.02134
0.00044	-0.01586
0.00050	-0.02182
0.00050	-0.01795
0.00050	-0.01779
0.00050	-0.02069
0.00050	-0.02391
0.00050	-0.02343
0.00050	-0.01908
0.00050	-0.02069
0.00050	-0.02021
0.00050	-0.02520
0.00056	-0.02069
0.00056	-0.02102
