Interference and Diffraction Data File Wed, Mar 02, 2022 3:36 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	-0.02295
0.00000	-0.02279
0.00000	-0.02375
0.00000	-0.02633
0.00000	-0.02553
0.00006	-0.02391
0.00006	-0.02230
0.00006	-0.02166
0.00006	-0.02681
0.00006	-0.02536
0.00006	-0.02391
0.00006	-0.02746
0.00006	-0.02585
0.00006	-0.02102
0.00006	-0.02150
0.00011	-0.02375
0.00011	-0.02617
0.00011	-0.02730
0.00011	-0.02424
0.00011	-0.02247
0.00011	-0.02698
0.00011	-0.02247
0.00011	-0.02408
0.00011	-0.02134
0.00011	-0.02263
0.00017	-0.02988
0.00017	-0.02617
0.00017	-0.02263
0.00017	-0.02826
0.00017	-0.02198
0.00017	-0.02327
0.00017	-0.02408
0.00017	-0.02649
0.00017	-0.02311
0.00017	-0.02843
0.00017	-0.02279
0.00022	-0.02263
0.00022	-0.02746
0.00022	-0.02923
0.00022	-0.02730
0.00022	-0.02166
0.00022	-0.02456
0.00022	-0.02714
0.00022	-0.02311
0.00022	-0.02263
0.00022	-0.02198
0.00022	-0.02440
0.00028	-0.02714
0.00028	-0.02214
0.00028	-0.02311
0.00028	-0.02875
0.00028	-0.02520
0.00028	-0.02375
0.00028	-0.02118
0.00028	-0.02681
0.00028	-0.02891
0.00033	-0.02601
0.00033	-0.02295
0.00033	-0.02601
0.00033	-0.02536
0.00033	-0.02488
0.00033	-0.02585
0.00033	-0.02585
0.00033	-0.02826
0.00033	-0.02553
0.00033	-0.02424
0.00039	-0.02230
0.00039	-0.02633
0.00039	-0.02536
0.00039	-0.02263
0.00039	-0.02295
0.00039	-0.02939
0.00039	-0.02166
0.00039	-0.02247
0.00039	-0.02214
0.00039	-0.02391
0.00039	-0.02182
0.00044	-0.02617
0.00044	-0.02279
0.00044	-0.02118
0.00044	-0.02536
0.00044	-0.02424
0.00044	-0.02327
0.00044	-0.02391
0.00044	-0.02408
0.00044	-0.02375
0.00050	-0.02520
0.00050	-0.02617
0.00050	-0.02472
0.00050	-0.02230
0.00050	-0.02488
0.00050	-0.03020
0.00050	-0.02891
0.00050	-0.02472
0.00050	-0.02359
0.00056	-0.02520
0.00056	-0.02198
0.00056	-0.02730
0.00056	-0.02778
0.00056	-0.02601
0.00056	-0.02971
0.00056	-0.02440
0.00056	-0.02553
0.00056	-0.02649
0.00056	-0.02617
0.00061	-0.02891
0.00061	-0.02391
0.00061	-0.02198
0.00061	-0.02633
0.00061	-0.02633
0.00061	-0.02714
0.00061	-0.02939
0.00061	-0.02601
0.00061	-0.02472
0.00061	-0.02198
0.00061	-0.02279
0.00067	-0.02263
0.00067	-0.02069
0.00067	-0.02456
0.00067	-0.02730
0.00067	-0.02424
0.00067	-0.02408
0.00067	-0.02762
0.00067	-0.02681
0.00067	-0.02214
0.00072	-0.02714
0.00072	-0.02794
0.00072	-0.02810
0.00072	-0.02826
0.00072	-0.02907
0.00072	-0.02472
0.00072	-0.02166
0.00072	-0.02182
0.00072	-0.02617
0.00078	-0.01973
0.00078	-0.02408
0.00078	-0.02456
0.00078	-0.02375
0.00078	-0.02617
0.00078	-0.02617
0.00078	-0.02472
0.00078	-0.02295
0.00078	-0.02520
0.00078	-0.02391
0.00083	-0.02263
0.00083	-0.02794
0.00083	-0.02843
0.00083	-0.02955
0.00083	-0.02939
0.00083	-0.02778
0.00083	-0.02391
0.00083	-0.02585
0.00083	-0.02359
0.00089	-0.02520
0.00089	-0.02343
0.00089	-0.02247
0.00089	-0.02843
0.00089	-0.02424
0.00089	-0.02391
0.00089	-0.02633
0.00089	-0.02810
0.00089	-0.02520
